Severity,Start_Lat,Start_Lng
2,30.336502,-97.755646
2,30.328165,-97.694305
2,30.326077,-97.692307
2,30.332523,-97.686707
2,30.292852,-97.747017
2,30.198725,-97.862808
2,30.21541,-97.797661
2,30.418287,-97.700874
2,30.283806,-97.824226
2,30.263641,-97.741791
2,30.314898,-97.74054
2,30.283434,-97.706825
2,30.335192,-97.806145
2,30.304298,-97.714806
2,30.280832,-97.648048
2,30.22436,-97.801338
2,30.234062,-97.86467
2,30.403763,-97.853981
2,30.144182,-97.696739
2,30.409302,-97.682358
2,30.426615,-97.753166
2,30.200632,-97.878372
2,30.281931,-97.742691
2,30.368856,-97.614388
2,30.283806,-97.824226
2,30.192759,-97.777557
2,30.16321,-97.725838
2,30.332523,-97.686707
2,30.299395,-97.710777
2,30.39263,-97.732872
2,30.39473,-97.644272
2,30.306385,-97.735832
2,30.136831,-97.796822
2,30.179552,-97.783203
2,30.408619,-97.716049
2,30.185335,-97.746468
2,30.306398,-97.74575
2,30.182543,-97.758385
2,30.338448,-97.74511
2,30.415817,-97.695892
2,30.39473,-97.644272
2,30.266764,-97.625427
2,30.440723,-97.687157
2,30.323048,-97.873192
2,30.321308,-97.756119
2,30.216488,-97.750664
2,30.368126,-97.742363
2,30.343529,-97.705101
2,30.373377,-97.726532
2,30.347719,-97.750938
2,30.251064,-97.580528
2,30.318211,-97.994461
2,30.46594,-97.803993
2,30.390694,-97.741112
2,30.277452,-97.751106
2,30.369507,-97.801994
2,30.428869,-97.748566
2,30.384615,-97.942772
2,30.273577,-97.697914
2,30.479944,-97.801826
2,30.26243,-97.741074
2,30.275873,-97.599945
2,30.342552,-97.763016
2,30.26907,-97.728928
2,30.360477,-97.716545
3,30.400223,-97.673439
2,30.373377,-97.726532
2,30.237762,-97.725693
2,30.145451,-97.699883
2,30.223356,-97.841652
2,30.359695,-97.738266
2,30.173857,-97.814423
2,30.303633,-97.741905
2,30.270681,-97.692253
2,30.282076,-97.707008
2,30.447163,-97.802223
2,30.468431,-97.796776
3,30.167116,-97.785866
2,30.429474,-97.69529
2,30.23719,-97.754929
2,30.407841,-97.678215
2,30.315342,-97.741219
2,30.328165,-97.694305
2,30.403763,-97.853981
2,30.382643,-97.77137
2,30.418976,-97.747017
2,30.229708,-97.730995
3,30.139606,-97.795822
2,30.357439,-97.700272
2,30.268021,-97.738991
2,30.273258,-97.798744
2,30.35862,-97.720154
2,30.443838,-97.742386
2,30.233658,-97.796616
2,30.441475,-97.69207
2,30.374157,-97.755608
2,30.392323,-97.708275
2,30.233629,-97.79657
2,30.280308,-97.753548
2,30.183222,-97.687637
2,30.144182,-97.696739
2,30.308075,-97.752647
2,30.093489,-97.693855
3,30.419399,-97.660919
2,30.208181,-97.861153
2,30.332344,-97.73465
3,30.292946,-97.721046
2,30.192041,-97.698418
2,30.434471,-97.770889
2,30.332636,-97.685715
2,30.333422,-97.698891
2,30.430016,-97.761337
3,30.223515,-97.747688
2,30.387026,-97.648537
2,30.34001,-97.591125
2,30.328997,-97.654793
2,30.348362,-97.723259
2,30.247168,-97.805
2,30.350506,-97.734322
2,30.395803,-97.732574
2,30.22217,-97.689522
2,30.322065,-97.659187
2,30.290018,-97.741386
2,30.247787,-97.804337
3,30.287695,-97.741608
2,30.386908,-97.661171
2,30.368303,-97.718369
