Severity,Start_Lat,Start_Lng
2,35.335232,-80.753609
2,35.333126,-80.721527
2,35.058044,-80.849487
2,35.258598,-80.690208
2,35.170444,-80.841316
2,35.244419,-80.78524
2,35.246971,-80.805779
2,35.206291,-80.864372
2,35.278908,-80.793503
3,35.162975,-80.889984
2,35.212929,-80.765991
2,35.225555,-80.721191
2,35.20985,-80.757179
2,35.19717,-80.726418
2,35.216621,-80.832596
2,35.135948,-80.903458
2,35.135529,-80.891891
2,35.202499,-80.725975
2,35.121151,-80.854561
2,35.117744,-80.822159
2,35.162521,-80.969818
2,35.276299,-80.727776
2,35.310139,-80.745712
2,35.246956,-80.896797
2,35.270905,-80.767685
2,35.270905,-80.767685
2,35.322094,-80.827751
2,35.205086,-80.718109
2,35.253632,-80.87896
2,35.292122,-80.796608
2,35.238312,-80.897133
2,35.201881,-80.824982
2,35.050968,-80.768753
2,35.203949,-80.750381
2,35.216141,-80.88372
2,35.30505,-80.858368
2,35.337471,-80.793121
2,35.245483,-80.893196
2,35.30032,-80.793617
2,35.18602,-80.737572
2,35.206951,-80.835999
2,35.266033,-80.769127
2,35.294399,-80.815491
2,35.337471,-80.793121
2,35.09906,-80.987778
2,35.16267,-80.73938
2,35.20274,-80.734627
2,35.242931,-80.794739
2,35.284599,-80.822731
2,35.287651,-80.7276
2,35.125061,-80.8713
2,35.220367,-80.827347
3,35.214928,-80.838425
2,35.105068,-80.880791
2,35.237419,-80.743011
2,35.203651,-80.79818
2,35.134811,-80.933418
2,35.254429,-80.874557
2,35.138859,-80.738937
2,35.347351,-80.843613
2,35.15189,-80.797371
2,35.113468,-80.921761
3,35.273212,-80.842819
2,35.127373,-80.942696
2,35.16267,-80.73938
2,35.311928,-80.758347
2,35.098042,-80.784103
2,35.09919,-80.970886
2,35.246632,-80.787903
2,35.300671,-80.80677
2,35.051029,-80.769608
2,35.197803,-80.882736
2,35.322708,-80.90197
2,35.098042,-80.784103
2,35.21859,-80.826141
2,35.287182,-80.822807
2,35.381939,-80.789719
2,35.15266,-80.953339
2,35.212379,-80.686882
2,35.381939,-80.789719
2,35.361572,-80.748711
2,35.202351,-80.892731
2,35.202351,-80.892731
2,35.227829,-80.839729
2,35.363762,-80.825722
2,35.214809,-80.713089
2,35.203011,-80.738777
2,35.18401,-80.886528
2,35.233311,-80.8937
2,35.180435,-80.887138
2,35.183849,-80.755577
2,35.19001,-80.79837
2,35.296535,-80.785431
2,35.281509,-80.924423
2,35.189678,-80.921547
2,35.150249,-80.792511
2,35.262009,-80.878754
2,35.206718,-80.783997
2,35.20985,-80.757179
2,35.290047,-80.76339
2,35.235119,-80.940796
2,35.223156,-80.724915
2,35.059982,-80.770042
2,35.28746,-80.727554
2,35.22126,-80.82444
