Severity,Start_Lat,Start_Lng
2,32.662193,-96.943153
3,32.77879,-96.782021
2,32.724277,-96.762245
2,32.708355,-96.700043
3,32.864021,-96.66114
2,32.85751,-96.770447
3,32.794102,-96.710831
2,32.662136,-96.964447
2,32.849957,-96.877419
2,32.662399,-96.806412
2,32.766266,-96.803719
2,32.922962,-96.718018
2,32.785313,-96.80986
2,32.808334,-96.809334
2,32.799194,-96.741234
2,32.778076,-96.682732
2,32.857922,-96.770439
2,32.665207,-96.778282
2,32.871952,-96.770119
3,32.925072,-96.900497
2,32.743477,-96.874054
2,32.836544,-96.778915
3,32.794098,-96.699883
2,32.923126,-96.740204
2,32.746845,-96.805382
2,32.769432,-96.68277
2,32.881187,-96.885666
2,32.789577,-96.807732
3,32.791401,-96.737411
2,32.747192,-96.815628
2,32.645535,-96.751228
2,32.765812,-96.75016
2,32.834805,-96.666023
2,32.909191,-96.886604
2,32.821995,-96.76152
2,32.794552,-96.748344
2,32.786541,-96.805244
2,32.679356,-96.785713
2,32.783222,-96.726471
2,32.772659,-96.700081
2,32.798389,-96.818878
2,32.774467,-96.710243
2,32.74868,-96.665558
2,32.855915,-96.871239
2,32.780994,-96.793976
2,32.909351,-96.768784
3,32.913242,-96.873154
2,32.676624,-96.857162
2,32.816254,-96.810677
3,32.918247,-96.855888
2,32.836655,-96.822029
4,32.83564,-96.875099
2,32.811329,-96.818092
3,32.765713,-96.804443
3,32.794098,-96.699883
2,32.88102,-96.897964
3,32.691292,-96.82325
2,32.760513,-96.822929
3,32.885582,-96.700478
2,32.662354,-96.812302
2,32.668102,-96.891388
3,32.878857,-96.688614
2,32.692486,-96.880173
2,32.763378,-96.709267
2,32.713142,-96.693047
2,32.676125,-96.602341
2,32.76897,-96.902733
2,32.879997,-96.770279
2,32.780994,-96.793976
2,32.860432,-96.905846
2,32.857864,-96.873848
2,32.763378,-96.709267
2,32.840603,-96.776329
2,32.908897,-96.705795
2,32.864216,-96.690918
2,32.859447,-96.753815
2,32.767471,-96.682701
2,32.651421,-96.836105
2,32.764675,-96.895554
2,32.81736,-96.802383
2,32.853653,-96.651558
2,32.903923,-96.872444
2,32.747662,-96.856857
2,32.748737,-96.648369
2,32.759808,-96.779358
3,32.896,-96.898163
3,32.713154,-96.829506
3,32.874687,-96.683182
3,32.660709,-96.728401
3,32.935822,-96.902054
2,32.777721,-96.805618
2,32.877167,-96.867546
2,32.921265,-96.769135
2,32.78384,-96.81562
2,32.719559,-96.674263
2,32.825764,-96.831177
2,32.828182,-96.752899
3,32.878574,-96.687996
2,32.939499,-96.817978
2,32.8148,-96.811134
2,32.909203,-96.758659
2,32.828182,-96.752899
2,32.713085,-96.683327
2,32.74498,-96.885162
2,32.757858,-96.740784
3,32.796425,-96.815544
2,32.720409,-96.900063
2,32.686161,-96.789818
2,32.787109,-96.856491
3,32.794537,-96.723038
2,32.848999,-96.665894
2,32.749702,-96.918518
2,32.720341,-96.891441
2,32.720356,-96.830284
2,32.784012,-96.757866
2,32.803722,-96.805466
2,32.756058,-96.753014
2,32.762436,-96.872559
2,32.687233,-96.886368
2,32.805054,-96.797409
2,32.792442,-96.685028
2,32.720356,-96.830284
2,32.694386,-96.803284
2,32.710968,-96.799973
2,32.811905,-96.805641
3,32.76918,-96.822845
2,32.695702,-96.803635
2,32.897961,-96.718361
2,32.686977,-96.822914
3,32.659779,-96.730255
2,32.747192,-96.915321
2,32.741467,-96.700142
3,32.770901,-96.810661
2,32.766403,-96.914665
3,32.926105,-96.808281
2,32.789272,-96.76989
2,32.647575,-96.876701
